name,ratio,kernel_size,window_range,true_positive,true_negative,false_positive,false_negative,positive,negative,predict_positive,predict_negative,coffecients1
Logistic,0.0,3,"(1, 15)",2,210,0,4,6,210,2,214,"{'LAP1': -0.32194604897691664, 'MIS3': -2.4718554839270404, 'WAV1': 0.002372771871589346, 'GRA7': -0.30422056261293584, 'STA3': -0.003974643544518695, 'DCT3': -1.1411543130881971}"
Decision,0.0,3,"(1, 15)",2,210,0,4,6,210,2,214,
Random,0.0,3,"(1, 15)",2,210,0,4,6,210,2,214,
Logistic,0.0,5,"(1, 15)",3,210,0,3,6,210,3,213,"{'LAP1': -0.665703138894395, 'MIS3': -3.1352963944808847, 'WAV1': 0.00446433279040343, 'GRA7': -0.5272826708665719, 'STA3': -0.02305070648924823, 'DCT3': -0.40199814187687005}"
Decision,0.0,5,"(1, 15)",3,210,0,3,6,210,3,213,
Random,0.0,5,"(1, 15)",3,210,0,3,6,210,3,213,
Logistic,0.0,7,"(1, 15)",3,210,0,3,6,210,3,213,"{'LAP1': -0.987082012229034, 'MIS3': -2.8709309590501153, 'WAV1': 0.006191508956828092, 'GRA7': -0.16623160568914472, 'STA3': -0.03283412054786288, 'DCT3': 0.5925755490952641}"
Decision,0.0,7,"(1, 15)",3,210,0,3,6,210,3,213,
Random,0.0,7,"(1, 15)",3,210,0,3,6,210,3,213,
Logistic,0.0,11,"(1, 15)",3,210,0,3,6,210,3,213,"{'LAP1': 0.2550750839483305, 'MIS3': -1.9769327593007116, 'WAV1': 0.008620740578736037, 'GRA7': -0.5508897910099378, 'STA3': 0.36442742257670346, 'DCT3': 1.3385313072413692}"
Decision,0.0,11,"(1, 15)",3,210,0,3,6,210,3,213,
Random,0.0,11,"(1, 15)",3,210,0,3,6,210,3,213,
Logistic,0.0,51,"(1, 15)",1,210,0,5,6,210,1,215,"{'LAP1': -0.10624161110004088, 'MIS3': -0.03077845197384162, 'WAV1': 0.00162600688444184, 'GRA7': 0.17408492593081806, 'STA3': -0.7938998288158646, 'DCT3': 0.4384478181261393}"
Decision,0.0,51,"(1, 15)",1,210,0,5,6,210,1,215,
Random,0.0,51,"(1, 15)",1,210,0,5,6,210,1,215,
Logistic,0.0,101,"(1, 15)",3,210,0,3,6,210,3,213,"{'LAP1': -0.05993383203717106, 'MIS3': -0.023864964623017373, 'WAV1': 0.011303459436420365, 'GRA7': 0.014307728637786588, 'STA3': 0.01361749883536128, 'DCT3': -0.015216039316049533}"
Decision,0.0,101,"(1, 15)",3,210,0,3,6,210,3,213,
Random,0.0,101,"(1, 15)",3,210,0,3,6,210,3,213,
Logistic,0.0,201,"(1, 15)",5,210,0,1,6,210,5,211,"{'LAP1': -0.010107690571656608, 'MIS3': -0.004180355743634949, 'WAV1': 0.009027862563102453, 'GRA7': 0.00267283291690352, 'STA3': -0.002112709336756786, 'DCT3': 0.017364766249061418}"
Decision,0.0,201,"(1, 15)",5,210,0,1,6,210,5,211,
Random,0.0,201,"(1, 15)",5,210,0,1,6,210,5,211,
Logistic,0.2,3,"(1, 15)",21,196,2,22,43,198,23,218,"{'LAP1': -2.634462159727491, 'MIS3': -6.1899623950842715, 'WAV1': 0.003507610429338408, 'GRA7': -2.402003772739424, 'STA3': -0.03252422438219408, 'DCT3': 0.020445330125891836}"
Decision,0.2,3,"(1, 15)",21,196,2,22,43,198,23,218,
Random,0.2,3,"(1, 15)",21,196,2,22,43,198,23,218,
Logistic,0.2,5,"(1, 15)",21,196,2,22,43,198,23,218,"{'LAP1': -2.201268905861079, 'MIS3': -3.3980759135097904, 'WAV1': 0.004652432403408001, 'GRA7': -2.4383320134808395, 'STA3': -0.05780479580986945, 'DCT3': 1.0280878806834466}"
Decision,0.2,5,"(1, 15)",21,196,2,22,43,198,23,218,
Random,0.2,5,"(1, 15)",21,196,2,22,43,198,23,218,
Logistic,0.2,7,"(1, 15)",21,197,1,22,43,198,22,219,"{'LAP1': -1.217074275659789, 'MIS3': -2.2755952427645814, 'WAV1': 0.005117424171099078, 'GRA7': -1.491313053169535, 'STA3': 0.0013629718448490056, 'DCT3': 1.578643119407202}"
Decision,0.2,7,"(1, 15)",21,197,1,22,43,198,22,219,
Random,0.2,7,"(1, 15)",21,197,1,22,43,198,22,219,
Logistic,0.2,11,"(1, 15)",22,195,3,21,43,198,25,216,"{'LAP1': -0.22834361199196815, 'MIS3': -1.0138392282344033, 'WAV1': 0.00528075831902665, 'GRA7': -0.3919200981007868, 'STA3': 0.4267153348884301, 'DCT3': 0.9836002108128334}"
Decision,0.2,11,"(1, 15)",22,195,3,21,43,198,25,216,
Random,0.2,11,"(1, 15)",22,195,3,21,43,198,25,216,
Logistic,0.2,51,"(1, 15)",22,193,5,21,43,198,27,214,"{'LAP1': -0.06513461844001367, 'MIS3': -0.06391931318873835, 'WAV1': 0.006521036634424707, 'GRA7': 0.020630994934671187, 'STA3': 0.12678038779051432, 'DCT3': 0.06816905401553683}"
Decision,0.2,51,"(1, 15)",22,193,5,21,43,198,27,214,
Random,0.2,51,"(1, 15)",22,193,5,21,43,198,27,214,
Logistic,0.2,101,"(1, 15)",15,189,9,28,43,198,24,217,"{'LAP1': -0.01916102523300172, 'MIS3': -0.0038747871415403994, 'WAV1': 0.0021456758296554347, 'GRA7': 0.016344045545741114, 'STA3': -0.04198084432834504, 'DCT3': -0.019002155940305916}"
Decision,0.2,101,"(1, 15)",15,189,9,28,43,198,24,217,
Random,0.2,101,"(1, 15)",15,189,9,28,43,198,24,217,
Logistic,0.2,201,"(1, 15)",23,192,6,20,43,198,29,212,"{'LAP1': -0.00896189738636264, 'MIS3': -0.001953578895475139, 'WAV1': 0.005160196734117425, 'GRA7': 0.0022666774452953743, 'STA3': -0.00020447328500619014, 'DCT3': 0.00897475593805412}"
Decision,0.2,201,"(1, 15)",23,192,6,20,43,198,29,212,
Random,0.2,201,"(1, 15)",23,192,6,20,43,198,29,212,
Logistic,0.25,3,"(1, 15)",24,197,8,21,45,205,32,218,"{'LAP1': -2.557105326155952, 'MIS3': -6.112647942271893, 'WAV1': 0.0033028890439698025, 'GRA7': -2.4452414931592235, 'STA3': -0.03156920055032827, 'DCT3': 0.617764867145103}"
